epoch,loss1,loss2,loss3,loss4,loss5,test_loss6,acc6,train_loss6
122,1.020042,1.338827,1.436052,1.355927,1.408425,1.1876,0.5850,1.3118546
123,1.397412,1.019574,1.721465,1.676731,1.051576,1.1727,0.5917,1.3733516
124,1.001158,1.215187,1.499417,1.233225,1.321377,1.2034,0.5883,1.2540728
125,1.706146,1.228549,1.637468,1.517957,1.752911,1.1937,0.5741,1.5686062
126,1.398481,1.468945,1.098936,1.683599,1.508642,1.1691,0.5955,1.4317206
127,1.427097,1.264890,1.710106,2.063510,1.631295,1.1750,0.5903,1.6193796
128,1.421220,1.614995,1.295844,1.491774,1.432598,1.1710,0.6018,1.4512862
129,1.538804,2.001110,1.159215,1.416725,1.368076,1.1697,0.5936,1.496786
130,1.603607,1.464198,1.283708,1.183747,1.597937,1.2011,0.5821,1.4266394
131,1.731505,1.632427,0.762713,1.487545,1.208921,1.1759,0.5958,1.3646222
132,1.447330,1.135525,1.063758,1.144638,1.303048,1.2094,0.5683,1.2188598
133,1.299144,0.907885,1.797116,1.447541,1.240761,1.1692,0.5939,1.3384894
134,1.315537,1.036302,1.818561,1.379399,1.337502,1.1950,0.5886,1.3774602
135,1.638709,1.399444,1.434538,1.185347,1.290468,1.1688,0.5976,1.3897012
136,1.152313,1.361046,1.590187,1.215421,0.856682,1.1598,0.6008,1.2351298
137,1.547588,1.299366,1.293788,1.089022,1.113517,1.1823,0.5878,1.2686562
138,1.226437,1.210581,1.312635,1.668239,0.863130,1.2093,0.5849,1.2562044
139,1.351736,1.404971,1.621546,1.592273,1.572012,1.1773,0.5960,1.5085076
140,1.416969,1.949213,1.492730,1.195327,1.792226,1.1796,0.5881,1.569293
141,1.714447,1.634362,1.666415,1.434708,1.263989,1.1755,0.5977,1.5427842
142,1.952945,1.439512,1.344061,1.491451,0.954947,1.1539,0.6046,1.4365832
143,1.245709,1.468980,1.725440,1.723242,1.671599,1.1633,0.5996,1.566994
144,1.075467,1.252990,0.965874,1.532094,1.159752,1.1595,0.5991,1.1972354
145,1.749290,1.426793,1.088011,1.155205,1.289253,1.1673,0.6013,1.3417104
146,1.397924,1.443097,1.792798,1.781742,1.281364,1.1874,0.5969,1.539385
147,1.017107,0.782860,1.564627,1.678471,2.067053,1.1854,0.5868,1.4220236
148,1.567949,1.280681,1.334986,1.148144,1.306345,1.1765,0.5924,1.327621
149,1.642611,1.225546,1.345962,1.345323,1.210702,1.1629,0.5991,1.3540288
150,1.468107,1.232262,1.123749,1.547084,1.572093,1.1583,0.6044,1.388659
151,1.256310,1.939452,1.372039,1.339652,1.875927,1.1653,0.6054,1.556676
152,1.476763,1.497386,1.028708,1.364701,1.126047,1.1541,0.6036,1.298721
153,1.497372,1.736369,1.626732,1.501526,1.689531,1.1578,0.5982,1.610306
154,1.294884,1.441142,0.909755,1.297084,1.034500,1.1604,0.6011,1.195473
155,1.366083,1.477598,1.406991,1.535938,1.290504,1.1586,0.6028,1.4154228
156,1.334012,1.217803,1.260067,1.570728,1.035992,1.1567,0.5991,1.2837204
157,1.501382,1.376059,1.484718,1.443698,1.766500,1.1629,0.6040,1.5144714
158,1.527128,0.877547,1.575245,1.177135,1.575184,1.1583,0.6014,1.3464478
159,1.061650,1.435365,1.627205,1.092600,1.773220,1.1601,0.5976,1.398008
160,1.675447,1.281084,1.159390,1.185629,1.178146,1.1640,0.6034,1.2959392
161,1.361300,1.537280,1.383776,1.171521,1.366146,1.1551,0.6066,1.3640046
162,0.984623,1.204428,1.489686,1.105809,1.086974,1.1762,0.5827,1.174304
163,1.218735,1.539147,1.340828,1.569821,1.419701,1.1653,0.6009,1.4176464
164,1.752786,1.461428,1.333027,1.467046,1.052271,1.1672,0.5956,1.4133116
165,0.915280,1.604715,1.634308,1.232681,1.585020,1.1538,0.6017,1.3944008
166,1.080644,1.176234,1.269704,1.114254,1.376128,1.1494,0.6018,1.2033928
167,1.492846,1.350613,1.437978,1.329783,1.402312,1.1533,0.6053,1.4027064
168,1.201259,1.911656,1.371427,1.102785,1.310651,1.1715,0.5928,1.3795556
169,1.168640,1.875466,1.412494,1.577594,1.146103,1.1697,0.5930,1.4360594
170,1.436532,1.196059,1.248003,1.773489,1.196053,1.1685,0.5919,1.3700272
171,1.363047,1.286740,1.204869,1.686949,1.015228,1.1706,0.5894,1.3113666
172,1.143981,1.068792,1.817410,1.488387,1.464297,1.1681,0.6005,1.3965734
173,1.595213,1.310433,1.269234,1.380780,1.895082,1.1574,0.6013,1.4901484
174,1.087342,1.102685,1.571265,1.139539,1.366845,1.1566,0.5994,1.2535352
175,1.521234,1.315087,1.248740,1.407896,1.414822,1.1576,0.6023,1.3815558
176,1.216609,1.865958,0.970192,1.151451,1.118983,1.1612,0.5988,1.2646386
177,1.298404,1.012221,1.329879,1.062899,1.317032,1.1504,0.6020,1.204087
178,1.362123,1.321597,1.402181,0.963967,1.542058,1.1600,0.5948,1.3183852
179,1.192312,1.026001,1.642188,1.379953,1.072743,1.1552,0.5966,1.2626394
180,1.484427,1.216510,1.006832,1.493294,1.149159,1.1435,0.6074,1.2700444
181,1.146976,1.455696,1.055484,1.932625,1.310900,1.1495,0.6026,1.3803362
182,1.376800,1.537142,1.863857,1.838235,1.091759,1.1572,0.5970,1.5415586
183,1.351369,1.501076,0.864874,0.962267,1.347638,1.1497,0.6050,1.2054448
184,1.872550,1.345299,1.330250,1.475436,1.822641,1.1648,0.5948,1.5692352
185,1.113460,1.844441,1.162930,1.088001,1.348727,1.1464,0.5988,1.3115118
186,1.191971,1.797356,1.640845,1.091583,0.979504,1.1532,0.6009,1.3402518
187,1.709846,1.672823,1.245949,0.945222,1.108062,1.1441,0.6013,1.3363804
188,1.952381,1.585775,1.099428,0.952219,1.404107,1.1448,0.6060,1.398782
189,1.033880,0.989435,1.137738,1.387528,1.253181,1.1459,0.6004,1.1603524
190,1.261363,1.412452,1.445078,1.101434,1.312049,1.1447,0.6009,1.3064752
191,1.455753,1.138374,1.038864,1.549141,1.467381,1.1670,0.5881,1.3299026
192,1.381554,1.316205,1.185643,1.447728,1.161302,1.1463,0.6054,1.2984864
193,1.382520,1.148923,1.184887,1.237133,1.729106,1.1538,0.6013,1.3365138
194,1.872904,1.196159,1.474003,1.703283,1.675200,1.1489,0.6055,1.5843098
195,1.924741,1.790257,1.354595,1.735427,0.942215,1.1381,0.6097,1.549447
196,1.826833,1.278613,1.656720,1.486259,1.733030,1.1405,0.6115,1.596291
197,1.056574,1.379442,0.916663,1.429409,1.221875,1.1527,0.6028,1.2007926
198,1.520712,1.439062,1.500413,1.227704,0.994402,1.1432,0.6086,1.3364586
199,1.446608,0.925585,1.502002,1.210446,1.195551,1.1515,0.6072,1.2560384
